岗位名称,公司名称,薪资,工作地点,岗位需求,时间要求,关键技术
软件开发工程师（实习生）,赛林科技,200-250元/天,上海杨浦区绿地能源大厦国定东路233号11楼08-10室,"1、2022年7月毕业，计算机、软件工程相关专业；
2、熟悉数据库编程，精通数据库应用（ORACLE/MYSQL/SQLSERVER等）；
3、学习能力强，可以通过培训和学习快速掌握JAVA语言，或ASP.NET、C# 开发；
4、有较强的敬业精神和团队协作精神、良好的学习能力和沟通能力；具有良好的职业素养；
5、有强烈的上进心和求知欲，善于学习和运用新知识；
6、具有良好的代码规范和编写习惯。
可提供一个月过渡期的住宿。","5天/周
12个月
本科","Oracle,MySQL,SQL Server,"
Java开发工程师-实习生,孤波,200-250元/天,上海浦东新区华虹科技园B座503E,"岗位职责： 
参与公司产品的后端功能开发；  
负责现有系统的维护及优化；
参与系统的产品需求及架构优化讨论。
 
岗位要求：  
1、211/985院校计算机本科以上学历，计算机相关原理及数据结构基础良好；
2、熟悉Java基础，对spring、mybatis、spring boot等框架组件的应用及原理都有较深理解；
3、熟悉MySQL，Redis的使用，了解Kafka，MQ, RabbitMQ中至少一种消息中间件；
4、熟悉Linux基本操作及maven、git、IDEA等工具；
5、热爱技术，工作积极努力。
该岗位实习2-3个月提供转正机会","4天/周
3个月
本科","数据结构,后端开发,Spring,GIT,Maven,Redis,,"
软件开发工程师实习生,华为,300-500元/天,上海浦东新区上海华为技术有限公司(新金桥路)2222号,"岗位要求：
1、计算机、软件、通信等相关专业本科及以上学历；
2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；
3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；
4、对数据结构、算法有一定了解；
5、优选条件：
（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；
（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参与编程开源社区组织；
（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术。
岗位职责：
在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：
（1）完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；
（2）创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等；
（3）有机会参与业界前沿技术研究和规划，参与开源社区运作，与全球专家一起工作、交流，构建华为在业界影响力。","4天/周
2个月
本科","Java,JavaScript,HTML,CSS,Python,软件开发,"
后端开发工程师（实习生）,上海幽孚网络科技...,100-150元/天,上海静安区上海亚马逊AWS联合创新中心静安区万荣路1268号云立方A栋4楼,"团队简介:
创业团队，其中产品和技术团队骨干均拥有10年以上行业经验。运用互联网技术助力金融、医疗、汽车行业的升级改造。
岗位职责
1. 参与代码开发；
2. 与产品和其他同事讨论需求，使其明晰，单独或与同事作出设计，然后编码实现；
3. 负责自己代码的单元测试，参与集成等其它测试；
4. 必要时协助同事解决疑难杂症。
5. 愿意进行VR软件开发相关学习。
要求
1. 有Java服务器端工作经验；
2. 基础扎实，严谨好学，涉猎甚广;
3. 熟练使用Java，Spring；
4. 熟练使用SQL，熟悉mysql，数据建模，有一定的性能优化能力；
5. 熟悉web服务器端编程；
6. 熟悉服务器端各种框架，能根据自己的需要选择合适的组合；","3天/周
4个月
本科","服务器配置,MySQL,java,c#,"
Web软件开发工程师（JAVA）实习生,途霆科技,120-150元/天,上海闵行区旭和环保产业园999,"1、负责项目研发工作
2、进行系统设计，功能开发
3、参与技术难题公关，项目技术更新等工作
岗位要求：
1、计算机相关专业本科以上学历，985，211大学优先
2、主动接受新技术，有一定的学习能力
优秀者可留用，转正薪资优","3天/周
3个月
本科","Java,SQL,Spring,Mybatis,SSH,Oracle,MySQL,,"
软件工程师实习生,PEAKSOLUTION,100-200元/天,上海普陀区世纪商务大厦(长寿路)长寿路97号13K,"Responsibilities and requirements:
Implementation of complex software solutions for test and measurement data management on the basis of Java, J2EE, Swing, RPC, Oracle, Windows, 
Familiar with Java, HTML CSS Java script, JQuery, 
Familiar with datebase oracle/postgres/mssql 
3rd or 4th year college student only
At least work 3 days a week, 6+ monthes, 150RMB\day
Good internship could directly lead to labor contract","3天/周
6个月","Java,"
JAVA工程师（实习生）,用友汽车信息科技,150-250元/天,上海长宁区辽油大厦定西路1100号,"2024年毕业 JAVA工程师（实习生）
岗位职责:
1、实际参与公司项目开发工作
2、独立完成项目经理所分配的软件开发任务，并与项目组其他成员紧密合作
任职要求：
1、全日制大三， 大四在读学生,计算机类、信息类等相关专业；
2、对IT行业充满热情，工作细致认真并富有耐心，具有很强的学习能力；
3、对软件研发有兴趣、熟悉主流编程语言者尤佳；
4、喜欢技术工作，具备较强的逻辑分析能力和钻研精神；
5、良好的团队协作、沟通、执行能力","5天/周
6个月
本科","Java,微服务架构,SpringBoot,SpringCloud,"
软件工程师（实习生）,普元信息,200-250元/天,上海浦东新区普元信息技术股份有限公司上海市浦东新区张江高科技园区碧波路456,"2024普元新星计划
任职要求：
1、2024届本科及以上学历，理工科专业；
2、有较强的分析、解决问题、学习能力以及沟通表达能力；
3、工作认真、负责，有良好的团队精神，能承受较大工作压力；
4、有一定的逻辑思维、条理性强，喜欢并有未来从事IT技术类工作的规划。","5天/周
6个月
本科","软件工程师,后端开发,实习,理工专业,"
游戏开发工程师（实习岗）,月腾软件,200-250元/天,上海徐汇区徐汇乐业天地C座3302,"岗位要求：
1：计算机科学或软件工程专业本科以上学历；
2：计算机科学与技术、软件工程、数学、物理、电子等相关专业；
3：对技术有兴趣，勤奋好学；
4：熟悉数据结构与算法；","3天/周
3个月","TypeScript,Cocos Creator,游戏引擎,CocosCreator,,"
桌面运维工程师（实习岗）,千寻位置,170-180元/天,上海杨浦区湾谷科技园C5栋,"工作职责
1、负责公司内部桌面问题处理。
2、负责公司安装windows、mac系统及日常硬件维护。
3、协助公司内部会议接待IT支持
4、协助公司展厅接待相关IT支持
5、负责工作内容的操作手册攥写
技能要求
1、专科以上学历、计算机相关专业
2、有较好的沟通能力、表达能力和责任心
注：实习工资：本科生（优秀的大专生同本科)：180元/天。提供中餐、晚餐券。
优先24届，实习6个月以上优先。","4天/周
5个月
大专","桌面运维,计算机相关专业,"
