岗位名称,公司名称,薪资,工作地点,岗位需求,时间要求,关键技术
产品研发实习生,迎雀航空,150-200元/天,上海长宁区华东民航机场建设公司迎雀航空101室,"工作内容：参与研学产品（课程/活动）的内容调研、策划、项目协调，课程/活动实施跟踪观察，课程服务等相关工作。
具体描述如下：
1.参与产品内容市场调研、需求分析和竞品分析；
2.在团队中跟着参与产品设计方案，产品落地后，参与活动开展;
3.产品设计/实施中其他服务支持工作；
岗位要求：
1.本科及以上学历，或教育学相关专业；
2.热爱教育行业，并对儿童教育有一定的了解和见解；
3.想在课程研发、活动开展上有志进一步学习，这里提供了稳定成长空间；
4.想在教育领域所有历练，想在具体实践中实现教育理想，这里有允许尝试，鼓励创新的工作氛围；
5.敢于尝试，会观察，能思考，不怕问不怕学，是我们的期待，也可以是你想成为的样子。
6.找的是实习生，但想培养成团队骨干，成长为产品研发经理方向
补贴福利：50元/天（市内交通、餐费补贴）","4天/周
3个月
大专","C端产品,研学,教育,课程设计,"
系统研发实习生C++,Momenta,360-370元/天,上海嘉定区汽车·创新港上海市嘉定区安亭镇汽车创新港19号楼,"岗位职责：
1.搭建无人驾驶核心模块，以及无人驾驶功能开发的工具链；
2.与硬件、算法、工程集成团队协作，优化无人驾驶系统；
3.与项目团队协作，提升无人驾驶功能落地的效率和软件质量。
岗位要求：
1. 熟悉C++/Linux，并能熟练使用一种脚本语言；
2. 对无人驾驶/机器人有相关比赛或项目经历者优先；
3. 有良好的逻辑思维能力，对挑战复杂的工程问题有热情；
4. 工作地点可在苏州, 上海, 深圳","4天/周
4个月
本科","C++,"
研发部实习生,普天阳,150-200元/天,上海长宁区文广大厦(虹桥路)8楼,"1.  检索3D打印手术导板、CAD/CAM技术在各科室的应用文献，统计应用类型、手术量；初步评估并汇总报告；
2.  协助部分技术文件、文献的翻译润色（中英互译）；
3.  协助注册材料的编制。
任职要求：
1. 较强的学习能力，快速适应实习期间工作；
2. 英语无障碍沟通、读写精通，能独立查阅外文文献；
3. 欢迎在读学生申请本岗位，顺利完成实习期间要求的学生将获得公司的实习评价报告；
4. 工作时间：每周3天或以上，上班时间：上午9：00-下午18：00。
5. 薪资待遇：200元/天，特别优秀者面议。","3天/周
6个月
本科","手术导板,"
后端研发实习生-隐私安全,北京字节跳动,300-400元/天,上海徐汇区漕河泾中心B,"职位描述
团队介绍：负责字节跳动短视频业务的研发工作。加入我们，你会接触到一款现象级产品的研发和相关架构工作，每一行代码都能服务亿万用户。
1、负责隐私产品的系统设计和核心功能的开发；
2、参与设计系统技术方案，核心代码开发和系统调优；
3、参与制定代码规范、测试规范，建立起开发质量控制方法；
4、协助团队攻克各种高并发、大流量、系统解耦等方面的技术难关；
5、参与各专项技术调研，新技术引入等前瞻项目。
职位要求
1、2024/2025届获得本科及以上学历，计算机相关专业；
2、热爱计算机科学和互联网技术，精通至少一门编程语言，包括但不仅限于：Java、C、C++、PHP、 Python、Go；
3、掌握扎实的计算机基础知识，深入理解数据结构、算法和操作系统知识；
4、有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；
5、有强烈的求知欲，优秀的学习和沟通能力。
该岗位为日常实习，24届及以后欢迎投递。","5天/周
6个月
本科","Java,PHP,C/C++,全栈项目经验,计算机相关专业,,,"
web前端研发实习生,拼多多,400-500元/天,上海长宁区金虹桥国际中心北楼,"面向2024届毕业生, 可以直接扫码投递哈
岗位职责
1.参与客户端H5/微信H5/小程序的web日常需求分析和功能开发，优化用户体验；
2.与上下游团队密切配合，分析并给出最优的前端结构解决方案和效果实现；
3.参与Web端整体架构设计、性能优化，动画体系设计，提升海量用户访问的体验和持续高效迭代。
任职要求
1.2024年应届毕业生，本科及以上学历，计算机相关专业，热爱计算机科学和互联网技术；
2.具备扎实的数据结构和计算机系统基础，编码功底扎实；
3.可以熟练使用各种 Web 前端技术，包括HTML(5)/CSS(3)/Javascript等，并有相关的项目开发经验或成果；
4.有基于 Ajax 应用的开发经验，有 NodeJS 开发经验，或者有移动端开发经验为佳；
5.有较强的学习能力，有强烈的责任心和自我驱动力；
6.能及时关注和学习业界最新技术，具备较好的逻辑分析能力，个性开朗乐观，具备良好的沟通能力和团队合作精神。
【拼多多校园招聘】内推链接：https://careers.pinduoduo.com/campus/intern/detail?t=YC39zLiKU1，内推码：YC39zLiKU1。Web前端研发实习生 期待你的加入！我们一起，无拼不青春！（通过此链接投递计入内推，内推简历优先筛选~）","6天/周
2个月
本科","JavaScript,HTML5,React,"
区块链研发实习生,万向区块链,200-250元/天,上海虹口区华虹国际大厦12楼,"岗位职责：
1、研究区块链领域前沿技术，包括算法实现以及性能优化，并能产出理论或者技术成果
2、负责数据安全与隐私保护相关技术研发， 根据需求设计方案并能推动落地
任职要求：
1、统招全日制本科、硕士，密码学、信息安全或应用数学相关专业；
2、熟悉或了解一门编程语言
3、有区块链底层技术研究经验者优先","3天/周
3个月
硕士","Golang,区块链,密码学,"
后端研发实习生(AIGC方向),韩创科技,150-200元/天,上海浦东新区张江微电子港1号楼402,"研发实习生（AIGC方向） 
工作职责 
1、按要求编写自动生产程序脚本 
2、按要求收集、整理知识库材料，输出材料规范 
任职要求 
1、计算机专业优先 
2、熟悉golang、html语言 
3、一周至少3天到岗，能持续2个月及以上者优先","3天/周
2个月
本科","Golang,PHP,计算机相关专业,"
伊顿创新研究院研发实习生,伊顿,100-150元/天,上海长宁区伊顿(中国)投资有限公司临虹路280弄3号,"职位描述 Job Description
1. 参与产品设计，包括电气构架，电气原理图，电路板布局，机械设计
Engage in product design including EE structure, schematics, PCB layout, HW thermal and mechanical design.
2. 助理评估新能源汽车、轨道交通、储能市场需求分析和相应产品分析
Support new energy EV, DC railway power supply and energy storage market demand and product specification analysis
3. 参与研发样机验证和前期供应链管理
Help to pre-research demos debugging and manage engineer BoM and suppliers
任职要求 Qualifications
1. 电气工程专业及相关背景
Major in electrical engnieering
2. 参与过电气原理图绘制以及掌握相关硬件开发软件优先
Experiences in schematics design and related hardware development software
3. 一周4-5天，6个月以上优先
Both 4-5 days per week and intern duration &gt;6 months are preferred","3天/周
6个月
硕士","机械设计,"
心理产品研发实习生,塔儿心理,120-240元/天,上海黄浦区上海广场淮海中路138号5楼,"岗位职责：
1、国内外前沿期刊有关音乐治疗、艺术治疗、睡眠、催眠、心理学、冥想等相关领域资料的收集、整理、翻译
2、进行用户需求调研及数据分析，提出切实可行的产品方案，提升拉新效果
3、定期对行业环境、国内外竞品进行分析、评估
岗位要求：
1、海内外心理学、脑科学、认知神经科学、音乐学等相关专业，硕士、博士及以上学历，有过相关研究及论文期刊发表者优先考虑
2、对音乐治疗、催眠正念冥想有自己的见解，愿意深入探索","3天/周
1个月
博士","AI产品,心理学产品,"
医疗器械研发实习生,上海捷必辰医疗技术,100-150元/天,上海闵行区临港浦江科技广场21号楼C411,负责医疗器械研发相关具体工作，协助项目经理或相关工程师进行包括产品信息调研，知识产权调研，法规收集，临床需求整理，产品设计，工艺设计，检验设计，产品验证，设计转移等技术工作。,"3天/周
2个月
本科","普通手术器械,结构,材料专业,机械专业,SolidWorks,UG,,,,,,,,,"
前后端研发实习生,上海拜贝思云计算,490-500元/天,上海静安区越商大厦(万航渡路)9-110,"1. 扎实的计算机基础知识；
2. 有前端或者后端编程经验（我们的技术栈是Vue3 + TypeScript + Golang)；
3. 具备英语阅读和写作能力（口语能力不作要求），日常工作沟通会用中文，但产品里的所有代码注释，对外的设计文档，博客内容都会是全英文的；
4. 有好奇心以及对技术有追求。","4天/周
3个月
本科","计算机/软件工程相关专业,技术博客/开源项目有所贡献,"
心理内容研发（实习生）,均瑶心宇数,150-200元/天,上海徐汇区均瑶国际广场29楼F2,"岗位职责：
1、撰写心理学相关的视频和音频脚本。
2、配合心理咨询师研发专业培训课程。
3、撰写公众号文章和数字化心理产品文案。
4、参与量表及趣味测试的研发和制作。
5、其他上级所交代的工作。
6、需要线下工作。
任职要求：
1、心理学相关专业本科及以上学历；
2、热爱心理学，有志于从事心理专业事业；
3、有团队精神，有爱心，有亲和力；
4、有心理咨询相关工作经验或有心理咨询师资格证书优先考虑。
5、英语良好。","3天/周
6个月
本科","兼职,"
大数据研发实习生(上海),阿里巴巴集团,250-500元/天,上海长宁区上海多媒体产业园,"CPO产品技术团队，我们需要数据研发，Java，算法，产品，前端，设计等岗位同学，欢迎大家加入！
如果说，DT重新定义了阿里电商数据、蚂蚁重新定义了阿里金融数据、菜鸟重新定义了阿里物流数据，那么阿里大脑是”数字新基建“的排头兵，代表了阿里未来企业数字化的转型方向。
逍遥子说过：“阿里巴巴是什么？是现在的十万多阿里人，我们每个个体某种程度都代表阿里巴巴“。今天我们在一个很好的时代，危机、疫情毫无疑问是严重的影响，但是另一方面，这也让我们看到了很多机会，在促进整个社会的发展。我们在拥抱互联网、拥抱数字化的趋势和风口之下，如何能够把握这样的风口，是每位聪明的同学应该思考的问题。
在2020年，全社会数字化战”疫“的过程，让大家充分感受到数字化的便利和安全！
如果你对企业组织经营管理感兴趣，如果你对数字化决策有思考和想法，那么你就是我们要寻找的“同路人”，期待加入我们，让我们一起探索组织经营管理数字化决策之路！
岗位要求
毕业时间：2022-11-01~2023-11-01","5天/周
2个月
本科","Java,HIVE,Hadoop,Flink,MapReduce,"
智能硬件应用研发实习生,易教科技,170-220元/天,上海徐汇区康健大楼A座5楼,"职位描述：
1.按照计划完成符合功能性能要求和质量标准的硬件产品；
2.编写调试程序，测试或协助测试开发的硬件设备，确保其按设计要求正常运行；
3.编写项目文档.质量记录以及其他有关文档；
4维护管理或协助管理所开发的硬件。
任职要求：
1.本科及以上学历，电子信息、通信、计算机、物联网等相关专业；
2.具备一定的硬件设计经验，熟悉硬件开发流程；
3.能够进行PCB设计，具备常用电路设计能力，能够熟练使用stm、esp等至少一种型号的单片机编程环境；
4. 能够使用绘图软件，如AltiumDesigner，CAD等，具有良好的数电模电基础；
5. 有良好的团队合作能力、沟通能力，喜欢钻研，学习能力强，至少独自完成过一个以上DIY电子产品，参加过各类竞赛优先。","3天/周
3个月
本科","芯片/半导体/集成电路,智能硬件/可穿戴设备,硬件开发经验,,,,,,"
生物实习生（研发部）,美迪希实验仪器,200-250元/天,上海浦东新区美迪希实验仪器(上海)有限公司浦东新区园西路555号,"岗位职责:
• 参与生物样品制备操作，如菌落克隆培养，活细胞培养等，并进行相关硬件设备测试。
• 参与生物样品培养和实验相关设备调研工作。
• 使用酶标仪进行相关软件测试。
• 完成R&D工程师安排的其他测试任务。
岗位要求:
• 生物、化学、药学相关专业本科或研究生。.
• 有生化实验经验者优先，活细胞实验经验者优先。
• 英文阅读和写作能力。
• 实习期不低于6个月, 每周保证3天及以上出勤。","4天/周
3个月
硕士","分析仪器,生物专业,"
咨询助理实习生（研发中心）,西部证券,50-80元/天,上海浦东新区晶耀前滩Crystal Plaza上海市浦东新区耀体路276号晶耀前滩3号,"岗位职责：
1、负责上市公司等行业信息的收集，整理，筛选和简单分析工作，周报整理汇总工作；
2. 公募基金客户持仓情况以及调研情况的跟踪信息汇总更新和简单分析工作
3. 行业内专家情况定期的梳理，汇总和资料更新工作；
4. 线上专家会议的会议纪要整理工作。
任职要求：
1. 全日制本科及以上在读，每周到岗至少3天，至少实习2个月；
2. 专业不限，细心有耐心的人员优先，有cold call相关经验的人优先；
3. 学习能力和执行力强，较强的信息搜集能力和处理能力，熟练使用Excel、Word、PPT等工具，较强的逻辑概括、文字和语言表达能力。
表现优异者有留用机会。","3天/周
3个月
本科","咨询顾问,咨询师,"
研究院-NLP研发实习生,SenseTime,250-300元/天,上海徐汇区虹梅路街道1900号,"工作职责
1.研究自然语言处理相关底层技术，能与有经验的合作者共同开展研究、执行工程落地的任务 
2.能熟练运用NLP相关工具，在指导下搭建并打磨真实场景中对话系统所需的各个模块 
3.共同撰写、发表国际论文，申请专利等
任职要求
1.计算机相关专业在校学生，硕士及以上学历，博士优先 
2.熟悉机器学习和自然语言处理等主流算法，并在相关应用领域有比较丰富的实战经验 
3.熟悉深度学习领域的主流框架，包括但不限于Tensorflow、Pytorch 
4.有出色的工程实现能力，具备科研能力，有顶会论文或者论文写作经验 
5.具有以下经历者优先，在ACL、NAACL、EMNLP、AAAI等国际顶尖会议或期刊上发表过学术论文；或者 有实际对话系统等NLP 系统开发经验和经历
6.需要近期到岗","5天/周
3个月
本科","自然语言处理,nlp,"
机器人研发实习生,壹沓科技,150-200元/天,上海静安区电气文通·709媒体园区64号楼3楼,"职责：
1、学习机器人产品，协助整理机器人相关培训材料；
2、负责岗位机器人项目的实施、交付管理，根据客户的情况和需求，结合产品的特点，设计合理的研发方案；
3、准确快速分析、协调人员解决项目实施过程中出现的各类问题，并进行清晰记录、跟踪、总结，不断提升项目交付效率；
4、总结项目实施经验，形成项目知识文档；
5、控制项目实施进度和成本，能快速识别项目潜在的风险；
条件：
1、本科以上学历，计算机等相关专业，熟练掌握至少一门开发语言，有较好的编程思维；
2、具备良好的客户服务精神，能够积极有效引导客户需求，提供高效的服务；
3、较强的文本编写能力；
4、熟悉项目管理知识体系，具备良好的项目控制能力；对新兴技术有热情，具有较强的行业学习能力，熟悉数据库基本操作和网页基本结构；
5、具备优秀的沟通和表达能力，较好的快速学习和理解能力，思维开阔，反应敏捷，有责任心；","4天/周
3个月","机器人,自动化,"
游戏研发策划实习生,盛趣游戏,200-230元/天,上海浦东新区海趣园1号楼,"【岗位职责】
1、负责游戏系统功能的设计与制作； 
2、负责游戏系统策划案、配置文件等相关文档的撰写及更新；
3、负责游戏功能的设计、开发及跟进，能配合程序及美术等相关人员完成开发工作；
4. 关注市场同类产品的状况，积极了解用户需求并提出可行性建议。
【任职资格】
1、热爱游戏行业，游戏经验丰富，对放置类产品有足够的见解和认知；
2、具有良好的逻辑思维及学习能力，具有良好的团队协作能力，有一定的抗压能力，团队意识强，具备高度的责任心；
3、熟悉放置类产品，至少深度体验过一款产品；
4、有相关项目研发经验优先，了解传奇类ip者优先。","4天/周
3个月
本科","系统策划,"
大数据研发实习生,字节跳动,400-500元/天,上海闵行区字节跳动(虹桥国际商务广场)2671,"职位描述
1,广告各类在线业务的离线数据加工与在线数据服务开发与维护；
2、数据服务接口及产品需求研发迭代，代码review、bug修复及日常服务运维；
3、针对海量数据处理和查询需求，设计适应业务变化的合理的多维数据分析系统架构，满足多样性的需求；
4、海量日志清洗加工，并抽象出可以多业务复用的数据模型。
职位要求
1.计算机相关专业本科以上学历，熟悉Hadoop架构和工作原理；熟悉Hive，有HQL优化经验；
2、熟悉JAVA，Python等多种编程技术，编程能力强，具备独立完成模块开发能力；
3、理解基本的设计模式，能将业务需求快速理解成技术需求；
4、熟练使用Mysql，熟练使用ElasticSearch、Spark、Druid者优先，熟悉其原理者优先；
5、善于沟通，工作积极主动，责任心强，具备良好的团队协作能力；
6、具备良好的问题分析与解决能力，有较强学习能力和逻辑思维能力；
7、实习时间每周三天及以上，四个月及以上者优先。","3天/周
4个月
本科","数仓建设经验,Hive,大数据开发经验,计算机相关专业,,,,"
实习生算法研发岗(限23年毕业),网商银行,400-450元/天,上海浦东新区支付宝大厦·S空间7层,"蚂蚁集团网商银行校招(限23年毕业)邀请您加入，请有意向的伙伴踊跃投递哈！
它不是一段实习，它是一段美好的回忆，它希望我们成为团队的一员，它与我们的正式正职生涯相联连~
职位描述
1. 参与亿级用户规模的推荐算法优化，利用算法提升风控系统的智能与运作效能；
2. 设计资金预测模型 ，有效提升资金流动性安全以及金融业务流程效率；
3. 为信贷业务设计研发推荐算法，在金融产品推荐、内容推荐、LBS推荐、促销活动等场景中提高用户体验与流量利用效率控制活动成本；
4. 能够抽象产品和运营的业务逻辑，设计流量机制，通过智能运营提升亿级DAU的产品定位与千万家商家权益投入积极性；
5. 参与搭建推荐系统框架，提供高并发，大数据，高效可靠的线上服务；
6. 参与前沿问题的探索与研究，结合实际应用场景，提供全面的技术解决方案。
职位要求
1. 专业：计算机、数学、物理、电子等，熟悉机器学习算法，对深度学习、迁移学习、强化学习等相关领域有深入研究或者相关经验；或熟悉运筹学、最优化方法；
2. 对以下任一领域有科研/工业项目经验：
（1）自然语言处理：语义分析、文档分析、深度文本表示、文本生成、机器翻译、智能对话等，
（2）图像/视频处理：图像检测、图像分类、图像分割、图像跟踪、视频语义分析等，
（3）个性化推荐：Deep&Wide、DFM、Transformer、Causal Inference等深度模型，
（4）决策优化：运筹学、现代优化算法 ；
3. 熟练使用c/c++, python, Java 中的至少一种编程语言；
4. 熟悉至少一种主流深度学习训练框架（Tensorflow/PyTorch）；
5. 有推荐、广告、搜索、时序分析等相关项目经验优先，有量化分析、计量统计分析等金融相关工作加分。
6. 在SIGKDD、ICML、NIPS、WSDM、WWW、ACL、RECSYS等相关国际顶级会议上有文献发表优先；
7. 有ACM / Topcoder Algorithm 或类似算法竞赛经历者优先。
PS：
1. 薪资：400元/天，2000房补/月
2. 转正机会：有！超级大的概率！
3. 实习入职时间可自由安排，制定正式员工培养计划，实行1对1师兄制度
4. 考拉海淘、淘宝心选等各种福利内购
5. 8点下班打车
6. 午餐/晚餐饭补20
7. 9点后提供宵夜
8. 每个节日都会有大礼盒","4天/周
6个月
硕士","Python,算法设计,自然语言处理,深度学习算法,,,"
容器平台研发实习生 (MJ000780),星环,250-350元/天,上海徐汇区H88越虹广场B座B座11/12/15F,"岗位职责：
1.负责容器平台网络相关组件的开发和运维
2.负责客户网络相关问题的调研，定位及解决
任职要求：
1.本科及以上学历，计算机相关专业
2.熟悉TCP/IP网络模型，了解ARP/DHCP/VLAN/VXLAN等常用网络知识
3.熟悉Linux操作系统常用命令
4.熟悉python，shell，golang之一编程语言
5.熟悉云计算相关技术优先","4天/周
5个月
本科","Golang,Kubernetes,Docker,计算机相关专业,"
分子诊断研发部实习生,通晓医学,150-160元/天,上海宝山区上海智力产业园(呼兰西路)附近,"工作内容：
1.负责分子诊断项目开发阶段的实验工作。
2.做好试验相关的物料仪器的文件记录管理。
3.配合项目经理完成项目的整体推进。
任职资格：
1. 本科及以上，生物分子或相关专业。
2. 有较多荧光PCR操作经验的优先。 
招聘人数：
2-3人
职位简介：
1.该职位由公司研发总监培养，全程参与多个研发项目的各个阶段，有利于快速学习掌握研发技能。
2.公司提供良好的员工发展平台，工作氛围轻松、融洽。
工作地址：上海宝山智力产业园","5天/周
3个月
本科","PCR,"
HR实习生（R&D 研发招聘方向）,特斯拉 Tesla,200-250元/天,上海浦东新区特斯拉上海超级工厂研发,"工作地点：上海临港特斯拉研发中心
主要描述：该职位将支持特斯拉中国研发招聘团队，进行车辆软件相关的社招岗位及实习生岗位的全流程招聘工作。
岗位职责：
日常招聘工作支持
1.   在各招聘平台发布岗位信息，并进行平台数据维护和管理
2.   候选人简历的主动搜寻及筛选，进行电话沟通以评估候选人的适配性
3.   协调候选人和中国/北美面试官的时间，安排面试
4.   与Recruiter密切合作，明确招聘需求，推动招聘进程，追踪招聘进展
5.   招聘相关数据维护和分析
招聘宣传工作支持
1.   与Recruiter一起负责招聘运营活动的策划和落地
岗位要求：
·        本科或硕士在校，可实习3个月及以上，每周出勤3-5天
·        具备优秀的沟通能力和学习能力，结果导向和及时响应能力
·        积极主动，较好的自我管理能力，具备多任务处理能力
·        优秀的英语听说读写能力，需和北美团队有书面沟通
·        熟悉Microsoft办公软件
关于Tesla：
·        世界知名科技创业公司，快速成长锻炼的平台
·        负责最核心的研发类岗位招聘（车辆软件）
·        中美团队沟通机会，与超一流的团队合作，与优秀工程师共事
·        免费食堂，覆盖上海的免费班车","4天/周
3个月
本科","公司人力资源部门,汽车,制造业,COE,留学生优先,,,,,"
感知技术研究所-智能相机系统研发实习生,美的中央研究院AI,170-210元/天,上海青浦区国家会展中心(上海)办公楼7楼,"岗位描述：美的集团(世界500强上市公司)中央研究院为美的集团最高研究机构，配合集团“科技领先”战略在各集团相关先进技术领域进行研发布局，其中感知技术研究所视觉团队目前聚焦于3D视觉技术及其在机器人视觉引导方向的应用研发。
工作内容：
(1). 参与智能相机硬件系统的搭建工作。
(2). 参与定制化电路板的设计和制作。
(3). 协助理解各类智能相机组成部分的硬件接口原理，文档，辅助智能相机硬件系统整体设计等。
任职资格：
电子信息技术相关专业本科生，硕士、博士研究生
有视觉技术相关经验者优先
工作地点深圳。","5天/周
3个月
硕士","相机硬件系统,电路板定制化设计,"
整车研发中后台产品实习生,NIO,200-250元/天,上海嘉定区汽车·创新港0,"职位描述
1、负责整车研发相关的项目管理、需求管理、工程研发等相关的部分产品模块的策划工作
2、深入了解业务场景，结合业务数据分析，发现产品机会并落地实现
3、对满意度负责，持续提升用户使用体验
职位要求
1、本科及以上学历，计算机相关专业优先，对汽车行业感兴趣。
2、优秀的学习能力，对产品经理这个岗位充满热情。
3、实习时间3个月及以上的优先。","4天/周
3个月","B端产品,"
深度学习框架高性能研发实习生,百度,200-300元/天,上海浦东新区亚芯科技园研发中心,"工作职责
-负责昆仑AI芯片接入PaddlePaddle、Pytorch、Tensorflow等深度学习框架和性能优化工作 
-负责主流AI模型对昆仑AI芯片的适配和性能优化工作 
-探索昆仑AI芯片分布式训练方案
-解决芯片互联、通讯库等关键问题
任职资格
-计算机及计算机相关专业本科或本科以上学历 
-熟悉C/C++，良好的编程习惯，熟悉计算机基础算法和数据结构，熟悉 Linux 开发环境  
-有深度学习框架(Pytorch, Tensorflow, PaddlePaddle等)开发或使用经验者优先 
-熟悉MLPerf，有相关使用经验者优先 
-熟悉MPI、RDMA、GPU direct等技术者优先","3天/周
6个月
硕士","C/C++,TensorFlow/PyTorch,并行计算,CUDA,"
汽车电子研发中心实验室实习生,海拉,200-250元/天,上海浦东新区上海海拉电子有限公司上海市浦东新区建业路411号,"Job Description岗位描述
• To provide cooperation and assistance to team members of all kinds of daily work;
为部门的各类日常工作提供配合与帮助；
• Support to perform testing activities for Doorhandle, antenna and key fob
协助完成测试工作主要正对于门把手，天线以及钥匙；
• Assist to maintain testing scheduler and test plan. 
协助参测试计划及测试进度的维护；
• Assist to coordinate the lab sample manager, equipment maintain;
协助整理实验室样品管理，设备维护保养；
• Assist test engineer to finish the relevant data of collecting and organizing the archive work;
协助测试工程师做好相关资料的搜集和整理归档工作；
Necessary Requirements 任职资格
• Bachelor’s degree or above, with majored in in electronic engineering or related;
大学本科以上，毕业于电子工程获相关专业；
• Delight, serious and careful working attitude;
工作细致认真，谨慎细心，条理性强；
• MS office software, especially Excel, PPT; basic programming skill is preferred
会使用办公自动化软件，尤其是Excel, PPT；基本编程能力
• Good organization, interpersonal communication, coordination ability;
具有良好的组织能力和人际沟通、协调能力；
• Good team work spirit and customer service consciousness.
良好的团队协作精神及客户服务意识。","4天/周
6个月
大专","软件测试,"
电驱动电机电磁设计研发实习生,马瑞利中国,130-150元/天,上海浦东新区马瑞利3楼,"Job responsibilities 
分析客户的规格，并在此基础上设计电机(特别是永磁电机)。
使用有限元软件进行电磁模拟
Qualification and skills
本科及以上学历，电气工程专业(电机相关）
电磁设计中使用有限元分析软件(Maxwell)
(可选)使用热分析软件(Motorcad)
良好的英语听说读写能力;
良好的沟通能力和人际交往能力;","3天/周
3个月
本科","研发工程师,设计工程师,"
控制算法实习岗（导航与运动控制方向）,邦鼓思,200-250元/天,上海杨浦区创智汇创智汇二号楼三楼AISPACEA05室,"岗位职责：
1.参与机器人整体系统构架优化，软硬件系统设计，基于设计进行合理工作分解，独立完成开发；
2 参与机器人多传感器信号处理，后台逻辑处理，运动与控制策略的设计。；
3 .与多种地图形态（拓扑、网格等）下的运动轨迹规划算法研发；
4.参与机器人的行为规划以及基于几何单元的运动规划（运动控制）算法研发。
任职要求：
1. 数学、机电、计算机、自动化等相关专业全日制本科以上学历。 
2. 熟悉机器人本体和控制系统的建模方法，机器人动力学建模方法，对动力学在机器人上的控制应用有相关经验。
3. 熟悉经典控制理论和现代控制理论，有相关轮式机器人运动控制及姿态控制的实践和经验。
4. 熟悉Linux下编程环境，熟练掌握c++/python，matlab等编程语言，对ROS有一定的了解；（有ROS经验最好，不做硬性规定）。
实习薪资：200左右/天","4天/周
3个月
本科","运动控制算法,"
德勤-数字化资产研发中心 PMO实习生,德勤咨询,140-190元/天,上海浦东新区瑞明大厦1,"IDDC PMO Intern 
Key responsibilities:
 Plan and execute events such as webinars, exhibitions and office tours with digital asset teams and stakeholders  
 Coordinate/work with asset teams to deliver newsletters/videos on communication channels to promote digital assets 
 Proactively support digital asset recording across firm through internal systems 
 Provide China and APAC leadership daily work support
Requirements:
 Able to adapt to agile work environment and to learn new things quickly 
 Good at communication and coordination onward and upward with colleagues and leads at different levels  
 Proficient in PowerPoint; a basic knowledge of IT is preferred 
 Fluent in written and oral English 
 Time commitment: 5 days a week for at least 3 months.","5天/周
3个月
本科","德勤实习,"
整车研发中后台产品实习生(J1BEV),NIO蔚来,200-250元/天,上海闵行区蔚来汽车(漕河泾办公点)7-9楼,"职位描述：
工作职责
1、负责整车研发相关的项目管理、需求管理、工程研发、质量测试等相关产品模块的策划工作
2、深入了解业务场景，结合业务数据分析，发现产品机会并推动落地
3、和研发、测试、项目管理等职位协同，确保需求多快好省的上线
4、对产品体验和满意度负责，持续提升用户使用体验
职位要求：
职位要求
1、本科及以上学历，计算机相关专业优先，对汽车行业感兴趣
2、优秀的学习能力，对产品经理这个岗位充满热情
3、实习时间3个月及以上的优先，每周至少4天","4天/周
3个月
本科","需求分析,项目管理,数据分析,"
移动生态战略规划部_数据研发实习生,百度,200-250元/天,上海浦东新区百度研发中心纳贤路701号,"工作职责
1、负责海量数据的抓取、存储、挖掘与分析系统建设；
2、基于结构化的大数据 能够通过hive等大数据工具，完成数据统计和分析；
3、结合业务场景，建设数据平台，负责数据平台的设计和功能开发；
4、对数据进行分析挖掘，能够发现潜在数据价值和关系，指导业务发展和产品决策
职责要求：
1、计算机 、数据挖掘、机器学习相关专业本科及以上学历；
2、能熟练c++/Python/PHP/Go等开发语言，并且有使用不同框架的开发经验；
3、具有hadoop、MapReduce、spark等大数据处理的经验；
4、熟练应用Mysql、Oracle等数据库技术；
5、热爱互联网，对互联网相关业务或技术充满好奇及热情；
6、快速的产品及业务学习能力，敏捷而周到的逻辑思维能力；
7、有责任心、敢于担当，工作积极主动，具备良好的团队合作精神，能融入多功能团队，并与其他部门同事进行良好的沟通及合作。","5天/周
4个月
本科","Python,Spark,Hadoop,MapReduce,HIVE,"
[阿里原班团队]多方安全计算算法研发实习生,蓝象科技,200-400元/天,上海虹口区上海金融科技园区15,"职位描述：负责多方安全计算算法的设计、实现
职位要求：
1.熟悉多方安全计算常见的密码算法和协议，能够结合联邦学习算法给出可行的解决方案。
2. 能够设计密码算法，在此基础上能欧冠论证和分析算法的安全性，并对所设计的算法，开发原型。
3. 能够综合通信、计算、安全进行一定的创新性设计。
4. 具备良好的密码基础和素养。
5. 具备动手实现的能力。","5天/周
3个月
本科","密码学,多方安全计算,"
前端开发工程师 实习生,Ubiquiti,200-250元/天,上海长宁区金虹桥国际中心1座南楼1502-1505,"【岗位职责】
提供web端页面实现方案并实现
【实习地点】
厦门/深圳
【岗位要求】
1. 熟悉W3C标准与ES规范，熟悉Web语义化
2. 熟悉JavaScript、HTML、CSS，并至少对其中一个方向有较为深入的理解
3. 熟练掌握盒模型、常用布局以及浏览器和移动设备兼容性
4. 熟练使用至少一种JS框架，掌握其原理，能独立开发常用组件
5. 熟练使用各种调试工具，能独立分析、解决和归纳问题
6. 对数据结构和算法有一定的了解
7. 有良好的学习、表达和沟通能力
8. 不限工作和实习经验
9. 学历本科及以上（只接受应届毕业生）
【优先条件】
1.有良好的编码习惯
2. 有自己的技术类博客并保持更新
3. 对开源项目做过贡献","4天/周
3个月","HTML,CSS,数据结构,Web端,"
